nodes_tabucol_gpu,TTS_tabucol_gpu,nodes_probabilistic_ising_gpu,TTS_probabilistic_ising_gpu,nodes_vectorized_gpu,TTS_vectorized_gpu,nodes_vectorized_fpga,TTS_vectorized_fpga,nodes_sbm_gpu,TTS_sbm_gpu
138,1.1452077305316926,138,inf,138,85.94182574033736,138,0.0004845333333333333,138,inf
87,1.6340827095508574,87,inf,87,31.306225880384442,87,0.00035186666666666664,87,inf
74,0.10697684288024903,74,224.15908962869645,74,1.2780719780921936,74,1.6444444444444444e-05,74,inf
11,0.006244648694992066,11,49.22490554107787,11,0.00940440845489502,11,4.888888888888889e-07,11,1.301030168280301
23,0.029751744270324707,23,inf,23,0.3094226160049438,23,6.899999999999999e-06,23,1.140503301766403
47,0.15342713356018067,47,65.91331355714797,47,3.090808286190033,47,4.699999999999999e-06,47,1.5191963077452382
95,0.3672755801677704,95,236.23419794797897,95,22.168250822782515,95,0.00017099999999999998,95,41.477425237398876
191,1.0120313847064972,191,inf,191,79.99549099457263,191,0.0003374333333333333,191,inf
121,43.92924326896667,121,inf,121,87.92613581085205,121,0.0015165333333333332,121,inf
169,43.07440362930298,169,inf,169,175.48357877540587,169,0.002103111111111111,169,inf
25,1.42407466173172,25,inf,25,106.77206599164411,25,4.3333333333333334e-05,25,inf
36,130.0405142239665,36,279.34028920823937,36,18.16485143933379,36,7.439999999999999e-05,36,inf
49,275.20838027649853,49,inf,49,1018.919258034894,49,9.963333333333333e-05,49,inf
96,33.44864236474037,96,1465.5015651609028,96,69.67525174331665,96,0.0028543999999999996,96,inf
64,41.21850444316864,64,inf,64,31.41776570356172,64,0.0007025777777777777,64,inf
81,41.487065309286116,81,5279.520625343872,81,43.806520084977144,81,0.002934,81,inf
